id,source,target,description,weight,links,in_context
12310,평가요소,평가방식,"The entities ""평가요소"" (evaluation elements) and ""평가방식"" (evaluation methods) are interconnected in the context of assessing learning outcomes. Each evaluation element is assessed according to a specific evaluation method, indicating that the evaluation methods are integral to the evaluation elements. Furthermore, the evaluation methods are included as part of the elements used to evaluate learning performance, highlighting their role in the overall assessment process.",18.0,1,True
12313,평가요소,기말고사,"The entity ""기말고사"" is recognized as an important component within the broader category of ""평가요소."" Specifically, 기말고사는 a significant element of academic assessment, serving as one of the key factors in determining students' overall grades. It is explicitly included among the various evaluation criteria used to assess student performance.",19.0,1,True
12307,성적평가 제 18 조,평가요소,평가요소는 성적평가 항목을 정의함,9.0,3,True
12304,성적평가 제 18 조,기말고사,기말고사는 성적평가 항목 중 하나로 포함됨,10.0,3,True
12308,성적평가 제 18 조,평가방식,평가방식은 성적평가에 사용되는 방법을 정의함,9.0,3,True
6111,교원업적평가규정 시행세칙 제 4 조,페이지 2,제 4 조는 페이지 2에 위치함,10.0,2,True
15338,제 3 조 평가비율,페이지 2,제 3 조는 페이지 2에 위치함,10.0,2,True
6122,수업평가,교수학습센터,교수학습센터는 수업평가 결과를 활용하여 교수의 강의 개선을 지원한다.,8.0,2,True
6127,수업평가 5.0 미만,교수학습센터,수업평가가 5.0 미만인 경우 교수학습센터의 프로그램 참여가 필수임,10.0,2,True
10597,평가방법,페이지 1,제 3 조 평가방법은 페이지 1에 위치함,10.0,1,True
4887,수업 평가 시행 및 결과의 활용 제 13 조,페이지 3,제 13 조는 페이지 3에 위치함,10.0,1,True
14984,수업평가규정,제 2 조,제 2 조는 수업평가규정의 일부로 포함되어 있음,10.0,1,True
14989,3-3-39 수업평가규정,제 4 조,제 4 조는 3-3-39 수업평가규정의 일부로 포함되어 있음,10.0,1,True
14985,수업평가규정,제 3 조,제 3 조는 수업평가규정의 일부로 포함되어 있음,10.0,1,True
14990,3-3-39 수업평가규정,제 5 조,제 5 조는 3-3-39 수업평가규정의 일부로 포함되어 있음,10.0,1,True
15413,부칙(시행일),제2조(평가방법),부칙은 제2조의 시행일을 포함하고 있음,9.0,1,True
14983,수업평가규정,제 1 조,제 1 조는 수업평가규정의 일부로 포함되어 있음,10.0,1,True
14986,수업평가규정,1페이지,수업평가규정 문서의 1페이지에 위치함,10.0,1,True
14987,수업평가규정,2025. 5. 7.,수업평가규정의 작성일자,9.0,1,True
14149,제 26 장 제 119 조,2015.10.27,사후평가의 기준이 설정된 날짜는 제 119 조에 명시됨,10.0,1,True
4299,강의평가,페이지 10,강의평가는 10페이지에 위치함,10.0,1,True
4287,강의평가,2023.12.13.,"The 강의평가 (course evaluation) is conducted based on criteria established for December 13, 2023. This evaluation process adheres to the standards that are applicable on this specific date, confirming that the criteria for the 강의평가 are set to be effective from December 13, 2023.",27.0,1,True
4417,교육업적평가,2015.10.27.,교육업적평가는 2015년 10월 27일에 기준이 설정되었다.,8.0,1,True
15337,제 3 조 평가비율,3-3-4 성적평가에 관한 시행세칙,제 3 조는 3-3-4 성적평가에 관한 시행세칙의 일부로 포함되어 있음,10.0,1,True
4679,정교수 업적평가의 기준,2015,2015년도 기준이 정교수 업적평가의 기준에 포함됨,9.0,1,True
4680,정교수 업적평가의 기준,2016,2016년도 기준이 정교수 업적평가의 기준에 포함됨,9.0,1,True
4681,정교수 업적평가의 기준,2017,2017년도 기준이 정교수 업적평가의 기준에 포함됨,9.0,1,True
4888,수업 평가 시행 및 결과의 활용 제 13 조,2021년 10월 21일,수업 평가 시행 및 결과의 활용과 관련된 날짜,9.0,1,True
4478,교수,295,교수의 종합평점은 295점임,8.0,1,True
4678,제 4 장 제21조,정교수 업적평가의 기준,제 4 장 제21조는 정교수의 업적평가 기준을 설명하고 있음,10.0,1,True
